Damage Type,Confidence,Est. Length (cm),Severity,Action Priority,Bounding Box
Burst,0.0%,0.6% Area,🟢 Low,Monitor Status,"[119.4, 67.2, 164.2, 73.9]"
Burst,0.0%,9.4% Area,🔴 High,Immediate Repair,"[190.2, 100.5, 250.4, 179.2]"
Burst,0.0%,2.7% Area,🟠 Medium,Schedule Maintenance,"[4.3, 73.6, 47.8, 105.0]"
Burst,0.0%,1.2% Area,🟢 Low,Monitor Status,"[219.2, 178.2, 259.5, 193.0]"
Burst,0.0%,2.8% Area,🟠 Medium,Schedule Maintenance,"[121.2, 82.0, 164.0, 115.4]"
Burst,0.0%,13.0% Area,🔴 High,Immediate Repair,"[194.5, 12.6, 259.9, 113.0]"
Burst,0.0%,0.9% Area,🟢 Low,Monitor Status,"[228.3, 9.2, 255.8, 25.2]"
Burst,0.0%,1.3% Area,🟢 Low,Monitor Status,"[0.0, 117.9, 9.9, 185.5]"
Burst,0.0%,0.5% Area,🟢 Low,Monitor Status,"[0.0, 77.6, 5.3, 122.2]"
Burst,0.0%,6.9% Area,🟠 Medium,Schedule Maintenance,"[1.5, 21.8, 114.9, 52.6]"
Burst,0.0%,0.3% Area,🟢 Low,Monitor Status,"[39.1, 0.0, 70.0, 4.4]"
Burst,0.0%,5.3% Area,🟠 Medium,Schedule Maintenance,"[112.2, 72.0, 181.0, 110.9]"
Burst,0.0%,11.4% Area,🔴 High,Immediate Repair,"[74.5, 124.5, 185.8, 176.0]"
Burst,0.0%,0.1% Area,🟢 Low,Monitor Status,"[41.6, 0.0, 74.5, 1.6]"
Burst,0.0%,2.3% Area,🟠 Medium,Schedule Maintenance,"[242.9, 63.5, 261.0, 127.7]"
Burst,0.0%,12.4% Area,🔴 High,Immediate Repair,"[0.0, 21.1, 149.4, 62.8]"
Burst,0.0%,1.8% Area,🟢 Low,Monitor Status,"[0.0, 117.7, 14.4, 182.2]"
Burst,0.0%,1.6% Area,🟢 Low,Monitor Status,"[13.3, 14.6, 41.6, 42.3]"
Burst,0.0%,0.4% Area,🟢 Low,Monitor Status,"[0.0, 38.2, 5.5, 71.8]"
Burst,0.0%,3.3% Area,🟠 Medium,Schedule Maintenance,"[218.3, 34.6, 259.6, 75.3]"
Burst,0.0%,0.1% Area,🟢 Low,Monitor Status,"[152.9, 0.0, 185.2, 1.5]"
Burst,0.0%,1.5% Area,🟢 Low,Monitor Status,"[52.6, 177.4, 101.2, 193.0]"
Burst,0.0%,0.2% Area,🟢 Low,Monitor Status,"[0.0, 0.0, 18.6, 5.3]"
Burst,0.0%,0.1% Area,🟢 Low,Monitor Status,"[48.3, 0.0, 80.9, 1.6]"
Burst,0.0%,8.5% Area,🔴 High,Immediate Repair,"[178.5, 97.8, 234.6, 174.1]"
Burst,0.0%,1.5% Area,🟢 Low,Monitor Status,"[29.3, 178.5, 81.9, 193.0]"
Burst,0.0%,0.4% Area,🟢 Low,Monitor Status,"[0.0, 61.6, 5.3, 96.6]"
Burst,0.0%,1.8% Area,🟢 Low,Monitor Status,"[93.2, 175.4, 146.0, 193.0]"
Burst,0.0%,0.8% Area,🟢 Low,Monitor Status,"[221.4, 9.5, 246.9, 25.3]"
Burst,0.0%,1.3% Area,🟢 Low,Monitor Status,"[21.0, 15.7, 45.2, 43.0]"
Burst,0.0%,0.1% Area,🟢 Low,Monitor Status,"[54.9, 0.0, 87.5, 1.6]"
Burst,0.0%,0.1% Area,🟢 Low,Monitor Status,"[61.5, 0.0, 93.7, 1.6]"
Burst,0.0%,0.2% Area,🟢 Low,Monitor Status,"[118.8, 190.7, 164.4, 193.0]"
Burst,0.0%,22.3% Area,🔴 High,Immediate Repair,"[11.6, 58.5, 131.1, 152.5]"
Burst,0.0%,2.6% Area,🟠 Medium,Schedule Maintenance,"[74.6, 125.8, 122.2, 153.2]"
Burst,0.0%,2.2% Area,🟠 Medium,Schedule Maintenance,"[182.7, 176.9, 250.5, 193.0]"
Burst,0.0%,0.5% Area,🟢 Low,Monitor Status,"[149.9, 77.0, 164.9, 93.3]"
Burst,0.0%,15.0% Area,🔴 High,Immediate Repair,"[0.2, 0.0, 167.4, 45.2]"
Burst,0.0%,1.6% Area,🟢 Low,Monitor Status,"[119.5, 175.5, 164.5, 193.0]"
Burst,0.0%,0.7% Area,🟢 Low,Monitor Status,"[0.0, 50.4, 8.8, 91.7]"
Burst,0.0%,0.6% Area,🟢 Low,Monitor Status,"[127.4, 10.1, 155.6, 20.7]"
